Name,latitude,longitude,Ocean,Fate,Date
U-309,58.15,-2.383333,The North Sea,Sunk,1945-02-16
U-310,63.437945,10.380543,The Norwegian Sea,Surrendered,1945-05-09
U-311,52.15,-19.116667,The Atlantic ocean,Sunk,1944-04-22
U-312,68.45515,17.439119,The Norwegian Sea,Surrendered,1945-05-09
U-313,68.45515,17.439119,The Norwegian Sea,Surrendered,1945-05-09
U-314,73.683333,24.5,The Barents Sea,Sunk,1944-01-30
U-315,63.437945,10.380543,The Norwegian Sea,Surrendered,1945-05-09
U-316,53.966667,10.883333,The Baltic Sea,Scuttled,1945-05-02
U-317,62.05,1.75,The North Sea,Sunk,1944-06-26
U-318,68.45515,17.439119,The Norwegian Sea,Surrendered,1945-05-09
U-319,57.344901,5.662997,The North Sea,Sunk,1944-07-15
U-320,61.533333,1.883333,The North Sea,Scuttled,1945-05-08
U-321,49.304085,-14.028576,The Atlantic ocean,Sunk,1945-04-02
U-322,50.22353,-0.476274,The English channel,Sunk,1944-12-29
U-323,53.513111,8.529035,The North Sea,Scuttled,1945-05-05
U-324,60.397297,5.278307,The Norwegian Sea,Surrendered,1945-05-09
U-325,49.80472,-5.20638,The Atlantic ocean,Sunk,1945-04-30
U-326,45.5,-4.4,The Atlantic ocean,Sunk,1945-04-30
U-327,60.687211,4.074322,The North Sea,Sunk,1945-02-03
U-328,60.397297,5.278307,The Norwegian Sea,Surrendered,1945-05-09
U-331,37.083333,2.45,The Mediterranean Sea,Sunk,1942-11-17
U-332,44.8,-8.966667,The Atlantic ocean,Sunk,1943-04-29
U-333,49.65,-7.466667,The Atlantic ocean,Sunk,1944-07-31
U-334,58.266667,-28.333333,The Atlantic ocean,Sunk,1943-06-14
U-335,62.8,-0.2,The Atlantic ocean,Sunk,1942-08-03
U-336,62.716667,-27.283333,The Atlantic ocean,Sunk,1943-10-05
U-337,63.0,-12.0,The Atlantic ocean,Missing,1943-01-03
U-338,57.666667,-29.8,The Atlantic ocean,Missing,1943-09-20
U-339,53.666171,8.183914,The North Sea,Scuttled,1945-05-05
U-340,35.55,-6.616667,The Atlantic ocean,Sunk,1943-11-02
U-341,58.566667,-25.5,The Atlantic ocean,Sunk,1943-09-19
U-342,60.533333,-29.333333,The Atlantic ocean,Sunk,1944-04-17
U-343,38.116667,9.683333,The Mediterranean Sea,Sunk,1944-03-10
U-344,74.9,15.433333,The Barents Sea,Sunk,1944-08-22
U-345,54.181508,12.092557,The Baltic Sea,Stricken,1943-12-13
U-346,54.416667,19.833333,The Baltic Sea,Sunk,1943-09-20
U-347,68.252082,15.657399,The Barents Sea,Sunk,1944-07-17
U-348,53.551673,9.785677,The North Sea,Sunk,1945-03-30
U-349,54.775753,9.862222,The Baltic Sea,Scuttled,1945-05-05
U-350,53.551673,9.785677,The North Sea,Sunk,1945-03-30
U-351,54.889723,9.925302,The Baltic Sea,Scuttled,1945-05-05
U-352,34.227833,-76.564833,The Atlantic ocean,Sunk,1942-05-09
U-353,53.9,-29.5,The Atlantic ocean,Sunk,1942-10-16
U-354,72.49,30.41,The Barents Sea,Sunk,1944-08-24
U-355,73.05,13.166667,The Barents Sea,Missing,1944-04-01
U-356,45.5,-25.666667,The Atlantic ocean,Sunk,1942-12-27
U-357,57.166667,-15.666667,The Atlantic ocean,Sunk,1942-12-26
U-358,45.76667,-23.26667,The Atlantic ocean,Sunk,1944-03-01
U-359,18.06,-75.0,The Caribbean Sea,Sunk,1943-07-26
U-360,72.466667,13.066667,The Barents Sea,Sunk,1944-04-02
U-361,68.35,6.0,The Atlantic ocean,Sunk,1944-07-17
U-362,75.85,89.45,The Barents Sea,Sunk,1944-09-05
U-363,68.45515,17.439119,The Norwegian Sea,Surrendered,1945-05-09
U-364,45.33,-6.05,The Atlantic ocean,Sunk,1944-01-29
U-365,70.43,8.07,The Atlantic ocean,Sunk,1944-12-13
U-366,72.1,14.45,The Atlantic ocean,Sunk,1944-03-05
U-367,54.4167,18.8333,The Baltic Sea,Sunk,1945-03-16
U-368,54.191615,7909274.0,The North Sea,Surrendered,1945-05-05
U-369,58.102326,8.00591,The North Sea,Surrendered,1945-05-09
U-370,54.769249,9.900329,The Baltic Sea,Scuttled,1945-05-05
U-371,37.816667,5.65,The Mediterranean Sea,Scuttled,1944-05-04
U-372,32.466667,34.616667,The Mediterranean Sea,Sunk,1942-08-04
U-373,48.1667,-5.5167,The Atlantic ocean,Sunk,1944-06-08
U-374,37.833333,16.0,The Mediterranean Sea,Sunk,1942-01-12
U-375,36.65,14.3,The Mediterranean Sea,Missing,1943-07-25
U-376,46.8,-9.0,The Atlantic ocean,Missing,1943-04-07
U-377,49.65,-20.166667,The Atlantic ocean,Sunk,1944-01-17
U-378,47.666667,-28.45,The Atlantic ocean,Sunk,1943-10-20
U-379,57.1833,-30.95,The Atlantic ocean,Sunk,1942-08-08
U-380,43.1167,5.9167,The Mediterranean Sea,Sunk,1944-03-11
U-381,51.5,-36.0,The Atlantic ocean,Missing,1943-05-10
U-382,53.608543,8.183345,The North Sea,Scuttled,1945-05-05
U-383,47.4,-12.166667,The Atlantic ocean,Sunk,1943-08-01
U-384,54.3,-26.25,The Atlantic ocean,Sunk,1943-03-19
U-385,46.2667,-2.75,The Atlantic ocean,Sunk,1944-08-11
U-386,48.85,-22.7333,The Atlantic ocean,Sunk,1944-02-19
U-387,69.683333,33.2,The Barents Sea,Sunk,1944-12-09
U-388,57.6,-31.333333,The Atlantic ocean,Sunk,1943-06-20
U-389,60.85,-28.4333,The Atlantic ocean,Sunk,1943-10-04
U-390,49.866667,-0.8,The Atlantic ocean,Sunk,1944-07-05
U-391,45.75,-9.6333,The Atlantic ocean,Sunk,1943-12-13
U-392,35.9167,-5.6833,The Atlantic ocean,Sunk,1944-03-16
U-393,54.52,9.6167,The North Sea,Scuttled,1945-05-05
U-394,69.7833,4.1667,The Barents Sea,Sunk,1944-09-02
U-396,57.5,-26.0,The Atlantic ocean,Missing,1945-04-11
U-397,54.768232,9.860345,The Baltic Sea,Scuttled,1945-05-05
U-398,57.894525,5.349939,The North Sea,Missing,1945-04-17
U-399,49.9333,-5.3667,The English channel,Sunk,1945-03-26
U-400,50.665,-5.083333,The Atlantic ocean,Sunk,1944-12-15
