UboatName,TypeOfUboat,Commissioned,FateDate,Fate,FateLatitude,FateLongitude,Days_in_service,TotalShipsSunked,Years_in_service,AverageDayPerShip,WarOutCome
U-133,VIIC,1941-07-05,1942-03-14,Sunk,37.833333,23.583333,252,1,0.69,252,Did not survive the War
U-134,VIIC,1941-07-26,1943-08-27,Sunk,44.05,-8.083333,762,3,2.09,254,Did not survive the War
U-135,VIIC,1941-08-16,1943-07-15,Sunk,28.333333,-13.283333,698,3,1.91,232.67,Did not survive the War
U-136,VIIC,1941-08-30,1942-07-11,Sunk,33.5,-22.866667,315,7,0.86,45,Did not survive the War
U-137,IID,1940-06-15,1945-05-05,Scuttled,53.55,8.583333,1785,7,4.89,255,Survived the war
U-138,IID,1940-06-27,1941-06-18,Scuttled,36.066667,-7.483333,356,6,0.97,59.33,Did not survive the War
U-139,IID,1940-07-24,1945-05-05,Scuttled,53.55,8.583333,1746,,4.78,,Survived the war
U-140,IID,1940-08-07,1945-05-05,Scuttled,53.55,8.583333,1732,4,4.74,433,Survived the war
U-141,IID,1940-08-21,1945-05-05,Scuttled,53.55,8.583333,1718,4,4.7,429.5,Survived the war
U-142,IID,1940-09-04,1945-05-05,Scuttled,53.55,8.583333,1704,,4.67,,Survived the war
U-143,IID,1940-09-18,1945-12-22,Sunk,55.966667,-9.583333,1921,1,5.26,1921,Survived the war
U-144,IID,1940-10-02,1941-08-10,Sunk,59.0,23.0,312,1,0.85,312,Did not survive the War
U-145,IID,1940-10-16,1945-12-22,Sunk,55.783333,-9.933333,1893,,5.18,,Survived the war
U-146,IID,1940-10-30,1945-05-05,Scuttled,53.55,8.583333,1648,1,4.51,1648,Survived the war
U-147,IID,1940-12-11,1941-06-02,Sunk,56.757731,-11.382499,173,2,0.47,86.5,Did not survive the War
U-148,IID,1940-12-28,1945-05-05,Scuttled,53.55,8.583333,1589,,4.35,,Survived the war
U-149,IID,1940-11-13,1945-12-21,Sunk,55.666667,-8.0,1864,1,5.1,1864,Survived the war
U-150,IID,1940-11-27,1945-12-21,Sunk,56.066667,-9.583333,1850,,5.07,,Survived the war
U-151,IID,1941-01-15,1945-05-05,Scuttled,53.55,8.583333,1571,,4.3,,Survived the war
U-152,IID,1941-01-29,1945-05-05,Scuttled,53.55,8.583333,1557,,4.26,,Survived the war
U-153,IXC,1941-07-19,1943-07-13,Sunk,9.392016,-79.927123,724,3,1.98,241.33,Did not survive the War
U-154,IXC,1941-08-02,1944-07-03,Sunk,34.0,-19.3,1066,10,2.92,106.6,Did not survive the War
U-155,IXC,1941-08-23,1945-12-21,Sunk,55.583,-7.65,1581,26,4.33,60.81,Survived the war
