UboatName,TypeOfUboat,Commissioned,Fate_Date,Days_in_service
U-1197,VIIC,1943-01-01,1945-05-01,851
U-857,IXC/40,1943-01-01,1945-04-30,850
U-286,VIIC,1943-01-01,1945-04-29,849
U-421,VIIC,1942-01-01,1944-04-29,849
U-332,VIIC,1941-01-01,1943-04-29,848
U-174,IXC,1941-01-01,1943-04-27,846
U-488,XIV,1942-01-01,1944-04-26,846
U-193,IXC/40,1942-01-01,1944-04-24,844
U-203,VIIC,1941-01-01,1943-04-25,844
U-546,IXC/40,1943-01-01,1945-04-24,844
U-548,IXC/40,1943-01-01,1945-04-19,839
U-602,VIIC,1941-01-01,1943-04-19,838
U-342,VIIC,1942-01-01,1944-04-17,837
U-398,VIIC,1943-01-01,1945-04-17,837
U-175,IXC,1941-01-01,1943-04-17,836
U-285,VIIC,1943-01-01,1945-04-15,835
U-448,VIIC,1942-01-01,1944-04-14,834
U-1206,VIIC,1943-01-01,1945-04-14,834
U-396,VIIC,1943-01-01,1945-04-11,831
U-804,IXC/40,1943-01-01,1945-04-09,829
U-982,VIIC,1943-01-01,1945-04-09,829
U-774,VIIC,1943-01-01,1945-04-08,828
U-962,VIIC,1942-01-01,1944-04-08,828
U-1001,VIIC/41,1943-01-01,1945-04-08,828
U-1195,VIIC,1943-01-01,1945-04-07,827
U-302,VIIC,1942-01-01,1944-04-06,826
U-376,VIIC,1941-01-01,1943-04-07,826
U-242,VIIC,1943-01-01,1945-04-05,825
U-749,VIIC,1943-01-01,1945-04-04,824
U-1221,IXC/40,1943-01-01,1945-04-03,823
U-321,VIIC/41,1943-01-01,1945-04-02,822
U-360,VIIC,1942-01-01,1944-04-02,822
U-223,VIIC,1942-01-01,1944-03-30,819
U-348,VIIC,1943-01-01,1945-03-30,819
U-350,VIIC,1943-01-01,1945-03-30,819
U-429,VIIC,1943-01-01,1945-03-30,819
U-430,VIIC,1943-01-01,1945-03-30,819
U-870,IXC/40,1943-01-01,1945-03-30,819
U-965,VIIC,1943-01-01,1945-03-30,819
U-1167,VIIC/41,1943-01-01,1945-03-30,819
U-961,VIIC,1942-01-01,1944-03-29,818
U-1169,VIIC/41,1943-01-01,1945-03-29,818
U-722,VIIC,1943-01-01,1945-03-27,816
U-905,VIIC,1943-01-01,1945-03-27,816
U-399,VIIC,1943-01-01,1945-03-26,815
U-1003,VIIC/41,1943-01-01,1945-03-25,814
U-866,IXC/40,1943-01-01,1945-03-18,807
U-246,VIIC,1943-01-01,1945-03-17,806
U-801,IXC/40,1942-01-01,1944-03-17,806
U-367,VIIC,1943-01-01,1945-03-16,805
U-163,IXC,1941-01-01,1943-03-13,801
U-296,VIIC/41,1943-01-01,1945-03-12,801
U-130,IXC,1941-01-01,1943-03-12,800
U-681,VIIC,1943-01-01,1945-03-11,800
U-343,VIIC,1942-01-01,1944-03-10,799
U-432,VIIC,1941-01-01,1943-03-11,799
U-450,VIIC,1942-01-01,1944-03-10,799
U-625,VIIC,1942-01-01,1944-03-10,799
U-156,IXC,1941-01-01,1943-03-08,796
U-83,VIIB,1941-01-01,1943-03-04,792
U-87,VIIB,1941-01-01,1943-03-04,792
U-358,VIIC,1942-01-01,1944-03-01,790
U-1000,VIIC/41,1943-01-01,1945-03-01,790
U-713,VIIC,1942-01-01,1944-02-24,784
U-761,VIIC,1942-01-01,1944-02-24,784
U-300,VIIC/41,1943-01-01,1945-02-22,783
U-606,VIIC,1941-01-01,1943-02-22,782
U-264,VIIC,1942-01-01,1944-02-19,779
U-386,VIIC,1942-01-01,1944-02-19,779
U-562,VIIC,1941-01-01,1943-02-19,779
U-709,VIIC,1942-01-01,1944-02-19,779
U-205,VIIC,1941-01-01,1943-02-17,777
U-989,VIIC,1943-01-01,1945-02-14,775
U-738,VIIC,1942-01-01,1944-02-14,774
U-676,VIIC,1943-01-01,1945-02-12,773
U-869,IXC/40,1943-01-01,1945-02-11,772
U-424,VIIC,1942-01-01,1944-02-11,771
U-666,VIIC,1942-01-01,1944-02-10,770
U-864,IXD2,1943-01-01,1945-02-09,770
U-923,VIIC,1943-01-01,1945-02-09,770
U-734,VIIC,1942-01-01,1944-02-09,769
U-762,VIIC,1942-01-01,1944-02-08,768
U-609,VIIC,1941-01-01,1943-02-06,766
U-187,IXC/40,1941-01-01,1943-02-04,764
U-745,VIIC,1943-01-01,1945-01-31,761
U-480,VIIC,1943-01-01,1945-01-29,759
U-763,VIIC,1943-01-01,1945-01-29,759
U-271,VIIC,1942-01-01,1944-01-28,757
U-1172,VIIC/41,1943-01-01,1945-01-27,757
U-1199,VIIC,1943-01-01,1945-01-21,751
U-263,VIIC,1942-01-01,1944-01-20,749
U-641,VIIC,1942-01-01,1944-01-19,748
U-248,VIIC,1943-01-01,1945-01-16,746
U-93,VIIC,1940-01-01,1942-01-15,745
U-305,VIIC,1942-01-01,1944-01-16,745
U-231,VIIC,1942-01-01,1944-01-13,742
U-507,IXC,1941-01-01,1943-01-13,742
U-679,VIIC,1943-01-01,1945-01-09,739
U-164,IXC,1941-01-01,1943-01-06,735
U-547,IXC/40,1943-01-01,1944-12-31,730
U-322,VIIC/41,1943-01-01,1944-12-29,728
U-75,VIIB,1940-01-01,1941-12-28,727
U-877,IXC/40,1943-01-01,1944-12-27,726
U-356,VIIC,1941-01-01,1942-12-27,725
U-850,IXD2,1942-01-01,1943-12-20,718
U-772,VIIC,1943-01-01,1944-12-17,716
U-557,VIIC,1940-01-01,1941-12-16,715
U-365,VIIC,1943-01-01,1944-12-13,712
U-645,VIIC,1942-01-01,1943-12-12,710
U-254,VIIC,1941-01-01,1942-12-08,706
U-297,VIIC/41,1943-01-01,1944-12-06,705
U-95,VIIC,1940-01-01,1941-11-28,697
U-479,VIIC,1943-01-01,1944-11-27,696
U-482,VIIC,1943-01-01,1944-11-25,694
U-849,IXD2,1942-01-01,1943-11-25,693
U-648,VIIC,1942-01-01,1943-11-22,690
U-517,IXC,1941-01-01,1942-11-21,689
U-538,IXC/40,1942-01-01,1943-11-21,689
U-536,IXC/40,1942-01-01,1943-11-20,688
U-211,VIIC,1942-01-01,1943-11-19,687
U-173,IXC,1941-01-01,1942-11-16,684
U-985,VIIC,1943-01-01,1944-11-15,684
U-259,VIIC,1941-01-01,1942-11-15,683
U-595,VIIC,1941-01-01,1942-11-14,682
U-605,VIIC,1941-01-01,1942-11-14,682
U-411,VIIC,1941-01-01,1942-11-13,681
U-1200,VIIC,1943-01-01,1944-11-12,681
U-660,VIIC,1941-01-01,1942-11-12,680
U-771,VIIC,1943-01-01,1944-11-11,680
U-226,VIIC,1942-01-01,1943-11-06,674
U-842,IXC/40,1942-01-01,1943-11-06,674
U-408,VIIC,1941-01-01,1942-11-05,673
U-848,IXD2,1942-01-01,1943-11-05,673
U-132,VIIC,1941-01-01,1942-11-04,672
U-340,VIIC,1942-01-01,1943-11-02,670
U-306,VIIC,1942-01-01,1943-10-31,668
U-732,VIIC,1942-01-01,1943-10-31,668
U-559,VIIC,1941-01-01,1942-10-30,667
U-658,VIIC,1941-01-01,1942-10-30,667
U-1060,VIIF,1943-01-01,1944-10-27,665
U-673,VIIC,1943-01-01,1944-10-24,662
U-599,VIIC,1941-01-01,1942-10-24,661
U-1226,IXC/40,1943-01-01,1944-10-23,661
U-274,VIIC,1942-01-01,1943-10-23,660
U-412,VIIC,1941-01-01,1942-10-22,659
U-216,VIID,1941-01-01,1942-10-20,657
U-420,VIIC,1942-01-01,1943-10-20,657
U-540,IXC/40,1942-01-01,1943-10-17,654
U-631,VIIC,1942-01-01,1943-10-17,654
U-841,IXC/40,1942-01-01,1943-10-17,654
U-1006,VIIC/41,1943-01-01,1944-10-16,654
U-353,VIIC,1941-01-01,1942-10-16,653
U-470,VIIC,1942-01-01,1943-10-16,653
U-533,IXC/40,1942-01-01,1943-10-16,653
U-844,IXC/40,1942-01-01,1943-10-16,653
U-964,VIIC,1942-01-01,1943-10-16,653
U-661,VIIC,1941-01-01,1942-10-15,652
U-45,VIIB,1938-01-01,1939-10-14,651
U-40,IXA,1938-01-01,1939-10-13,650
U-597,VIIC,1941-01-01,1942-10-12,649
U-171,IXC,1941-01-01,1942-10-09,646
U-179,IXD2,1941-01-01,1942-10-08,645
U-419,VIIC,1942-01-01,1943-10-08,645
U-643,VIIC,1942-01-01,1943-10-08,645
U-116,XB,1941-01-01,1942-10-06,643
U-111,IXB,1940-01-01,1941-10-04,642
U-582,VIIC,1941-01-01,1942-10-05,642
U-993,VIIC,1943-01-01,1944-10-04,642
U-279,VIIC,1942-01-01,1943-10-04,641
U-389,VIIC,1942-01-01,1943-10-04,641
U-422,VIIC,1942-01-01,1943-10-04,641
U-1062,VIIF,1943-01-01,1944-09-30,638
U-863,IXD2,1943-01-01,1944-09-29,637
U-165,IXC,1941-01-01,1942-09-27,634
U-221,VIIC,1942-01-01,1943-09-27,634
U-871,IXD2,1943-01-01,1944-09-26,634
U-253,VIIC,1941-01-01,1942-09-25,632
U-921,VIIC,1943-01-01,1944-09-24,632
U-859,IXD2,1943-01-01,1944-09-23,631
U-229,VIIC,1942-01-01,1943-09-22,629
U-338,VIIC,1942-01-01,1943-09-20,627
U-867,IXC/40,1943-01-01,1944-09-19,627
U-341,VIIC,1942-01-01,1943-09-19,626
U-457,VIIC,1941-01-01,1942-09-16,623
U-39,IXA,1938-01-01,1939-09-14,621
U-589,VIIC,1941-01-01,1942-09-14,621
U-88,VIIC,1941-01-01,1942-09-12,619
U-617,VIIC,1942-01-01,1943-09-12,619
U-855,IXC/40,1943-01-01,1944-09-11,619
U-484,VIIC,1943-01-01,1944-09-09,617
U-865,IXC/40,1943-01-01,1944-09-09,617
U-760,VIIC,1942-01-01,1943-09-08,615
U-162,IXC,1941-01-01,1942-09-03,610
U-394,VIIC,1943-01-01,1944-09-02,610
U-705,VIIC,1941-01-01,1942-09-03,610
U-247,VIIC,1943-01-01,1944-09-01,609
U-634,VIIC,1942-01-01,1943-08-30,606
U-669,VIIC,1942-01-01,1943-08-30,606
U-639,VIIC,1942-01-01,1943-08-28,604
U-847,IXD2,1942-01-01,1943-08-27,603
U-925,VIIC,1943-01-01,1944-08-25,602
U-523,IXC,1942-01-01,1943-08-25,601
U-766,VIIC,1943-01-01,1944-08-24,601
U-185,IXC/40,1942-01-01,1943-08-24,600
U-344,VIIC,1943-01-01,1944-08-22,599
U-743,VIIC,1943-01-01,1944-08-22,599
U-654,VIIC,1941-01-01,1942-08-22,598
U-1229,IXC/40,1943-01-01,1944-08-20,597
U-197,IXD2,1942-01-01,1943-08-20,596
U-464,XIV,1941-01-01,1942-08-20,596
U-670,VIIC,1942-01-01,1943-08-20,596
U-967,VIIC,1943-01-01,1944-08-19,596
U-741,VIIC,1943-01-01,1944-08-15,592
U-981,VIIC,1943-01-01,1944-08-12,589
U-144,IID,1940-01-01,1941-08-10,587
U-468,VIIC,1942-01-01,1943-08-11,587
U-525,IXC/40,1942-01-01,1943-08-11,587
U-872,IXD2,1943-01-01,1944-08-10,587
U-664,VIIC,1942-01-01,1943-08-09,585
U-379,VIIC,1941-01-01,1942-08-08,584
U-471,VIIC,1943-01-01,1944-08-06,583
U-615,VIIC,1942-01-01,1943-08-07,583
U-969,VIIC,1943-01-01,1944-08-06,583
U-210,VIIC,1941-01-01,1942-08-06,582
U-578,VIIC,1941-01-01,1942-08-06,582
U-372,VIIC,1941-01-01,1942-08-04,580
U-401,VIIC,1940-01-01,1941-08-03,580
U-489,XIV,1942-01-01,1943-08-04,580
U-335,VIIC,1941-01-01,1942-08-03,579
U-984,VIIC,1943-01-01,1944-08-02,579
U-573,VIIC,1941-01-01,1942-08-02,578
U-383,VIIC,1942-01-01,1943-08-01,577
U-199,IXD2,1942-01-01,1943-07-31,576
U-213,VIID,1941-01-01,1942-07-31,576
U-250,VIIC,1943-01-01,1944-07-30,576
U-588,VIIC,1941-01-01,1942-07-31,576
U-754,VIIC,1941-01-01,1942-07-31,576
