UboatName,TotalShipsSunked,Days_in_service,Days_per_ship,FateDate,WarOutCome
U-675,0,509,,1944-05-24,Did not survive the War
U-676,0,773,,1945-02-12,Did not survive the War
U-677,0,859,,1945-05-09,Survived the war
U-678,0,552,,1944-07-06,Did not survive the War
U-679,1,739,739,1945-01-09,Did not survive the War
U-68,33,1561,47,1944-04-10,Did not survive the War
U-680,0,855,,1945-05-05,Survived the war
U-681,0,800,,1945-03-11,Did not survive the War
U-682,0,435,,1945-03-11,Did not survive the War
U-683,0,416,,1945-02-20,Did not survive the War
U-69,17,1143,67,1943-02-17,Did not survive the War
U-7,1,3335,3335,1944-02-18,Did not survive the War
U-70,1,431,431,1941-03-07,Did not survive the War
U-701,9,552,61,1942-07-07,Did not survive the War
U-702,0,454,,1942-03-31,Did not survive the War
U-703,7,1354,193,1944-09-16,Did not survive the War
U-704,1,1580,1580,1945-04-30,Did not survive the War
U-705,1,610,610,1942-09-03,Did not survive the War
U-706,3,943,314,1943-08-02,Did not survive the War
U-707,2,1042,521,1943-11-09,Did not survive the War
U-708,0,1585,,1945-05-05,Survived the war
U-709,0,779,,1944-02-19,Did not survive the War
U-71,5,1948,389,1945-05-02,Survived the war
U-710,0,478,,1943-04-24,Did not survive the War
U-711,2,1219,609,1945-05-04,Survived the war
U-712,0,1224,,1945-05-09,Survived the war
U-713,0,784,,1944-02-24,Did not survive the War
U-714,2,1168,584,1945-03-14,Did not survive the War
U-715,0,894,,1944-06-13,Did not survive the War
U-716,2,859,429,1945-05-09,Survived the war
U-717,0,855,,1945-05-05,Survived the war
U-718,0,321,,1943-11-18,Did not survive the War
U-719,0,542,,1944-06-26,Did not survive the War
U-72,0,1915,,1945-03-30,Did not survive the War
U-720,0,855,,1945-05-05,Survived the war
U-721,0,855,,1945-05-05,Survived the war
U-722,1,816,816,1945-03-27,Did not survive the War
U-73,12,1445,120,1943-12-16,Did not survive the War
U-731,0,865,,1944-05-15,Did not survive the War
U-732,0,668,,1943-10-31,Did not survive the War
U-733,0,1220,,1945-05-05,Survived the war
U-734,0,769,,1944-02-09,Did not survive the War
U-735,0,1092,,1944-12-28,Did not survive the War
U-736,0,948,,1944-08-06,Did not survive the War
U-737,0,1083,,1944-12-19,Did not survive the War
U-738,0,774,,1944-02-14,Did not survive the War
U-739,1,1228,1228,1945-05-13,Survived the war
U-74,5,852,170,1942-05-02,Did not survive the War
U-740,0,889,,1944-06-08,Did not survive the War
U-741,1,592,592,1944-08-15,Did not survive the War
U-742,0,564,,1944-07-18,Did not survive the War
U-743,0,599,,1944-08-22,Did not survive the War
U-744,2,430,215,1944-03-06,Did not survive the War
U-745,2,761,380,1945-01-31,Did not survive the War
U-746,0,855,,1945-05-05,Survived the war
U-747,0,855,,1945-05-05,Survived the war
U-748,0,855,,1945-05-05,Survived the war
U-749,0,824,,1945-04-04,Did not survive the War
U-75,9,727,80,1941-12-28,Did not survive the War
U-750,0,855,,1945-05-05,Survived the war
U-751,6,928,154,1942-07-17,Did not survive the War
U-752,9,872,96,1943-05-23,Did not survive the War
U-753,3,862,287,1943-05-13,Did not survive the War
U-754,13,576,44,1942-07-31,Did not survive the War
U-755,3,877,292,1943-05-28,Did not survive the War
U-756,0,243,,1941-09-01,Did not survive the War
U-757,3,1102,367,1944-01-08,Did not survive the War
U-758,2,1170,585,1945-03-16,Did not survive the War
